DATE,CITY,TMIN,z_TMIN,abs_score
2024-08-21,NYC,57.0,-7.9776473438512605,7.9776473438512605
2024-04-05,LA,47.0,-7.794228634059945,7.794228634059945
2025-08-22,NYC,58.0,-7.413571269033494,7.413571269033494
2023-02-16,NYC,56.0,7.343200448420056,7.343200448420056
2023-10-26,Chicago,65.0,7.043636972982644,7.043636972982644
2025-06-23,Chicago,79.0,6.939315030888377,6.939315030888377
2025-01-19,LA,42.0,-6.647834579807491,6.647834579807491
2025-12-05,Chicago,9.0,-6.617763281087847,6.617763281087847
2023-01-19,LA,43.0,-6.051234040593998,6.051234040593998
2024-04-06,LA,46.0,-6.0075140918611085,6.0075140918611085
2023-06-23,LA,59.0,-6.0035703662784865,6.0035703662784865
2024-04-29,NYC,63.0,5.825741526062231,5.825741526062231
2024-09-09,LA,78.0,5.709015426748913,5.709015426748913
2026-02-07,NYC,6.0,-5.434311918885962,5.434311918885962
2023-05-07,Chicago,58.0,5.140684869415839,5.140684869415839
